model_name,model_file,reasoning_level,recipe_index,recipe_type,recipe_name,predicted_copper_mg,ground_truth_copper_mg,signed_error,absolute_error,relative_error_percent,success,cluster_id,pca_x,pca_y,word_count,paragraph_count,sentence_count,bullet_count,numbered_step_count,json_block_present,usda_reference_count,uncertainty_marker_count,correction_phrase_count,refinement_step_count,ingredient_count,ingredient_mentioned_count,explicit_ingredient_estimate_count,ingredient_coverage_percent,skipped_or_negligible_count,grouping_marker_count,per_100g_count,gram_conversion_count,portion_based_count,division_per_serving_count,sum_statement_count,arithmetic_expression_count,high_copper_reference_count,low_copper_reference_count,estimated_numeric_mg_count,calculation_density,coverage_gap_count,complexity_response_ratio,overestimate_indicator,underestimate_indicator
gpt_4_1,gpt_4_1.jsonl,none,0,breakfast,Scrambled Egg & Black Bean Burritos,0.225,0.15,0.07500000000000001,0.07500000000000001,50.000000000000014,True,0,-5.124707863614147,2.9733407166269097,200,7,2,11,0,1,2,4,0,0,11,11,11,100.0,0,0,0,3,11,6,3,4,0,0,14,0.02,0,1.0,1,0
gpt_4_1,gpt_4_1.jsonl,none,1,breakfast,Cranberry Carrot Muffins,0.05,0.06,-0.009999999999999995,0.009999999999999995,16.66666666666666,True,-1,-8.794602946800035,-0.6401282154720841,220,8,1,21,0,1,2,4,0,0,15,15,10,66.66666666666666,5,0,0,9,18,11,5,9,0,5,19,0.04090909090909091,5,0.6666666666666666,0,1
gpt_4_1,gpt_4_1.jsonl,none,2,breakfast,Blueberry Banana Pancakes,0.22,0.17,0.04999999999999999,0.04999999999999999,29.411764705882344,True,-1,-4.787000609191978,0.6015351622048425,132,7,1,11,0,1,2,1,0,0,11,11,7,63.63636363636363,1,2,0,4,8,6,2,5,0,1,10,0.03787878787878788,4,0.6363636363636364,1,0
gpt_4_1,gpt_4_1.jsonl,none,3,breakfast,"Cheesy Egg, Bacon & Broccoli Muffins",0.14,0.08,0.06000000000000001,0.06000000000000001,75.00000000000001,True,-1,-3.9421700471030965,0.5408904934752911,159,7,2,6,0,1,2,6,0,0,10,9,5,50.0,1,0,4,8,6,2,3,4,0,1,13,0.025157232704402517,5,0.5,1,0
gpt_4_1,gpt_4_1.jsonl,none,4,breakfast,Glorious Green Smoothie Bowl,0.24,0.17,0.06999999999999998,0.06999999999999998,41.17647058823528,True,0,-5.104799620074159,3.0229003853229846,221,7,4,13,0,1,2,7,0,0,6,6,6,100.0,1,0,0,4,15,4,3,4,0,1,11,0.01809954751131222,0,1.0,1,0
gpt_4_1,gpt_4_1.jsonl,none,5,anytime_meals,Sesame-Ginger Turkey Meatballs,0.15,0.04,0.10999999999999999,0.10999999999999999,274.99999999999994,True,0,-6.123552544087365,0.6043101581288016,223,9,5,20,0,1,2,3,0,0,14,14,9,64.28571428571429,1,0,0,9,12,7,5,4,0,1,12,0.017937219730941704,5,0.6428571428571429,1,0
gpt_4_1,gpt_4_1.jsonl,none,6,anytime_meals,Chicken and Broccoli Piccata,0.18,0.13,0.04999999999999999,0.04999999999999999,38.46153846153845,True,0,-7.312826964339227,1.7280374173228337,215,10,2,13,0,1,2,4,0,0,14,14,12,85.71428571428571,1,0,0,11,14,5,4,12,0,1,15,0.05581395348837209,2,0.8571428571428571,1,0
gpt_4_1,gpt_4_1.jsonl,none,7,anytime_meals,Chicken Fajitas with Lime Sauce,0.24,0.12,0.12,0.12,100.0,True,-1,-9.051511629978203,2.040943685092046,266,8,4,16,0,1,2,7,0,0,18,17,17,94.44444444444444,0,0,0,15,15,7,3,19,0,0,19,0.07142857142857142,1,0.9444444444444444,1,0
gpt_4_1,gpt_4_1.jsonl,none,8,anytime_meals,One-Pot Beef & Mushroom Lasagna,0.25,0.09,0.16,0.16,177.7777777777778,True,0,-7.114527545905288,2.5183964186218852,216,8,4,12,0,1,2,7,0,0,13,12,12,92.3076923076923,0,0,0,8,12,9,3,13,0,0,15,0.06018518518518518,1,0.9230769230769231,1,0
gpt_4_1,gpt_4_1.jsonl,none,9,anytime_meals,Pork Tenderloin with Dijon Gravy,0.15,0.14,0.009999999999999981,0.009999999999999981,7.142857142857128,True,-1,-5.334285805592123,1.931963965100462,183,6,3,12,0,1,2,5,0,0,10,10,10,100.0,0,2,0,8,13,5,3,0,0,0,14,0.0,0,1.0,1,0
gpt_4_1,gpt_4_1.jsonl,none,10,anytime_meals,Fish Tacos with Crunchy Slaw,0.25,0.14,0.10999999999999999,0.10999999999999999,78.57142857142856,True,-1,-7.801880053632458,-4.374420326892235,265,10,6,7,0,1,2,7,0,0,17,10,5,29.411764705882355,3,0,13,26,7,17,4,2,0,3,23,0.007547169811320755,12,0.29411764705882354,1,0
gpt_4_1,gpt_4_1.jsonl,none,11,anytime_meals,Chicken Sausage Garden Pasta,0.28,0.04,0.24000000000000002,0.24000000000000002,600.0,True,-1,-9.510797284542752,-0.9780948409336725,295,19,4,39,0,1,2,4,0,0,10,10,7,70.0,2,0,7,24,20,7,4,4,0,2,24,0.013559322033898305,3,0.7,1,0
gpt_4_1,gpt_4_1.jsonl,none,12,anytime_meals,Roasted Cauliflower Power Salad,,0.12,,,,True,-1,-8.075851702362474,-4.256121217059062,304,22,6,11,0,1,2,3,0,0,18,14,1,5.555555555555555,2,1,6,14,13,9,4,14,0,2,20,0.046052631578947366,17,0.05555555555555555,0,0
gpt_4_1,gpt_4_1.jsonl,none,13,anytime_meals,Simple Greek Salad,0.17,0.12,0.05000000000000002,0.05000000000000002,41.66666666666668,True,0,-8.49380046680442,2.1961895251155856,237,7,4,13,0,1,2,6,0,0,16,15,15,93.75,0,0,0,13,14,9,4,18,0,0,16,0.0759493670886076,1,0.9375,1,0
gpt_4_1,gpt_4_1.jsonl,none,14,anytime_meals,Apple-Celery Chicken Salad,0.075,0.1,-0.02500000000000001,0.02500000000000001,25.000000000000007,True,-1,-5.945799407978445,2.0008743096986885,184,8,3,10,0,1,2,5,0,0,11,11,9,81.81818181818183,1,0,0,9,10,6,2,11,0,1,12,0.059782608695652176,2,0.8181818181818182,0,1
gpt_4_1,gpt_4_1.jsonl,none,15,anytime_meals,Harvest Crunch Kale & Chicken Salad,0.34,0.19,0.15000000000000002,0.15000000000000002,78.94736842105264,True,-1,-9.659374004207933,-2.44220263210349,286,9,1,23,0,1,2,4,0,0,15,15,8,53.333333333333336,5,0,8,16,15,7,5,11,0,5,27,0.038461538461538464,7,0.5333333333333333,1,0
gpt_4_1,gpt_4_1.jsonl,none,16,desserts,Citrus-Berry Ricotta Parfaits,0.15,0.1,0.04999999999999999,0.04999999999999999,49.999999999999986,True,-1,-6.360692016668959,-2.941137530716246,218,16,2,18,0,1,0,8,0,0,6,6,0,0.0,0,0,12,24,8,10,9,6,0,0,21,0.027522935779816515,6,0.0,1,0
gpt_4_1,gpt_4_1.jsonl,none,17,desserts,Crispy Rice Cereal Treats,0.03,0.02,0.009999999999999998,0.009999999999999998,49.999999999999986,True,0,-3.2266063804874086,3.3090542417753737,106,5,1,6,0,1,2,0,0,0,6,6,6,100.0,0,0,0,6,10,4,2,3,0,0,8,0.02830188679245283,0,1.0,1,0
gpt_4_1,gpt_4_1.jsonl,none,18,desserts,Carob Chip Cranberry Cookies,0.05,0.03,0.020000000000000004,0.020000000000000004,66.66666666666669,True,0,-7.2061213374252455,2.340723447602997,208,8,1,22,0,1,2,4,0,0,12,12,12,100.0,0,0,1,8,16,10,5,7,0,0,15,0.03365384615384615,0,1.0,1,0
gpt_4_1,gpt_4_1.jsonl,none,19,desserts,Pumpkin Cinnamon Bars,0.06,0.06,0.0,0.0,0.0,True,-1,-5.109726634448748,2.1660557132763447,120,5,0,8,0,1,0,0,0,0,12,12,12,100.0,1,1,0,2,8,6,2,9,0,1,11,0.075,0,1.0,0,0
gpt_4_1,gpt_4_1.jsonl,none,20,desserts,Carob Cupcakes with Cream Cheese Frosting,0.058,0.03,0.028000000000000004,0.028000000000000004,93.33333333333334,True,-1,-9.883931165186516,2.141643131279909,296,12,1,25,0,1,2,3,0,0,15,15,15,100.0,0,0,1,5,24,11,4,15,0,0,33,0.05067567567567568,0,1.0,1,0
gpt_4_1,gpt_4_1.jsonl,none,21,snacks,Rice Cakes with Peanut Butter and Strawberries,0.28,0.16,0.12000000000000002,0.12000000000000002,75.00000000000001,True,1,-1.2303254084267703,3.46170541936242,69,4,0,3,0,1,0,1,0,0,3,3,3,100.0,0,0,0,1,5,2,2,2,0,0,6,0.028985507246376812,0,1.0,1,0
gpt_4_1,gpt_4_1.jsonl,none,22,snacks,Avocado Toast with Feta,0.19,0.23,-0.04000000000000001,0.04000000000000001,17.39130434782609,True,-1,-1.8173423981839418,2.8124161756587,87,5,0,3,0,1,0,1,0,0,3,3,3,100.0,0,0,3,6,4,2,2,3,0,0,8,0.034482758620689655,0,1.0,0,1
gpt_4_1,gpt_4_1.jsonl,none,23,snacks,Trail Mix Snack,0.48,0.1,0.38,0.38,380.0,True,0,-2.8657581345626295,3.8146033378052207,100,5,1,4,0,1,2,4,0,0,4,4,4,100.0,0,0,0,4,6,2,2,5,0,0,5,0.05,0,1.0,1,0
gpt_4_1,gpt_4_1.jsonl,none,24,snacks,Almond Butter Apple Snack,0.32,0.14,0.18,0.18,128.57142857142856,True,-1,-1.1588471187816634,3.702626504406964,62,2,0,3,0,1,2,0,0,0,2,2,2,100.0,0,0,1,2,4,1,2,1,0,0,5,0.016129032258064516,0,1.0,1,0
gpt_4_1,gpt_4_1.jsonl,none,25,snacks,Hummus with Bell Pepper,0.28,0.14,0.14,0.14,100.0,True,-1,-1.3743041311192987,3.3906848114839527,64,3,5,2,0,1,2,0,0,0,2,2,2,100.0,0,0,2,4,4,1,2,0,0,0,7,0.0,0,1.0,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,0,breakfast,Scrambled Egg & Black Bean Burritos,0.355,0.15,0.205,0.205,136.66666666666666,True,0,-7.06949918981169,2.3022572131803956,201,6,0,11,0,1,1,3,0,0,11,11,11,100.0,1,0,1,9,13,7,5,15,0,1,14,0.07462686567164178,0,1.0,1,0
gpt_4_1_mini,gpt_4_1_mini.jsonl,none,1,breakfast,Cranberry Carrot Muffins,,0.06,,0.008000000000000007,13.333333333333346,True,-1,-17.774230532685213,-5.593146211371537,368,20,14,47,13,0,0,4,0,0,15,15,11,73.33333333333333,5,0,12,28,27,22,12,21,0,5,31,0.057065217391304345,4,0.7333333333333333,0,0
