model_name,model_file,valid_predictions_count,invalid_predictions_count,total_recipes,MAE,accuracy_percent,recipe_type,reasoning_level,failed_recipes
gpt_5_4_mini__reasoning_low,gpt_5_4_mini__reasoning_low.jsonl,26,0,26,0.04961538461538462,15.384615384615385,all,low,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,26,0,26,0.054961538461538464,26.923076923076923,all,medium,
gpt_5_4_pro__reasoning_high,gpt_5_4_pro__reasoning_high.jsonl,26,0,26,0.05926923076923077,19.230769230769234,all,high,
gpt_5_4_mini__reasoning_high,gpt_5_4_mini__reasoning_high.jsonl,26,0,26,0.06030769230769231,11.538461538461538,all,high,
gpt_5_5__reasoning_low,gpt_5_5__reasoning_low.jsonl,26,0,26,0.06319230769230769,7.6923076923076925,all,low,
gpt_5_4__reasoning_medium,gpt_5_4__reasoning_medium.jsonl,26,0,26,0.06434615384615384,11.538461538461538,all,medium,
gpt_5_4__reasoning_low,gpt_5_4__reasoning_low.jsonl,26,0,26,0.06538461538461539,7.6923076923076925,all,low,
gpt_5_5__reasoning_high,gpt_5_5__reasoning_high.jsonl,26,0,26,0.06546153846153846,19.230769230769234,all,high,
gpt_5_4__reasoning_high,gpt_5_4__reasoning_high.jsonl,26,0,26,0.06703846153846153,11.538461538461538,all,high,
gpt_5_5__reasoning_medium,gpt_5_5__reasoning_medium.jsonl,26,0,26,0.07192307692307692,7.6923076923076925,all,medium,
gpt_4_1,gpt_4_1.jsonl,25,1,26,0.09032,8.0,all,none,Roasted Cauliflower Power Salad
gpt_5_4_nano__reasoning_medium,gpt_5_4_nano__reasoning_medium.jsonl,26,0,26,0.1158076923076923,7.6923076923076925,all,medium,
gpt_4o,gpt_4o.jsonl,26,0,26,0.12817692307692308,19.230769230769234,all,none,
gpt_4o_mini,gpt_4o_mini.jsonl,26,0,26,0.1301153846153846,3.8461538461538463,all,none,
gpt_4_1_mini,gpt_4_1_mini.jsonl,26,0,26,0.1385769230769231,7.6923076923076925,all,none,
gpt_4_1_nano,gpt_4_1_nano.jsonl,26,0,26,0.15721153846153843,3.8461538461538463,all,none,
gpt_5_4_nano__reasoning_high,gpt_5_4_nano__reasoning_high.jsonl,26,0,26,0.1586153846153846,7.6923076923076925,all,high,
gpt_5_4_nano__reasoning_low,gpt_5_4_nano__reasoning_low.jsonl,26,0,26,0.3929615384615385,7.6923076923076925,all,low,
