model_name,model_file,valid_predictions_count,invalid_predictions_count,total_recipes,MAE,accuracy_percent,recipe_type,reasoning_level,failed_recipes
gpt_4_1,gpt_4_1.jsonl,10,1,11,0.1025,10.0,anytime_meals,none,Roasted Cauliflower Power Salad
gpt_4_1,gpt_4_1.jsonl,5,0,5,0.053000000000000005,0.0,breakfast,none,
gpt_4_1,gpt_4_1.jsonl,5,0,5,0.0216,20.0,desserts,none,
gpt_4_1,gpt_4_1.jsonl,5,0,5,0.17200000000000001,0.0,snacks,none,
gpt_4_1_mini,gpt_4_1_mini.jsonl,11,0,11,0.17445454545454545,9.090909090909092,anytime_meals,none,
gpt_4_1_mini,gpt_4_1_mini.jsonl,4,1,5,0.08374999999999999,0.0,breakfast,none,Cranberry Carrot Muffins
gpt_4_1_mini,gpt_4_1_mini.jsonl,5,0,5,0.0412,20.0,desserts,none,
gpt_4_1_mini,gpt_4_1_mini.jsonl,5,0,5,0.227,0.0,snacks,none,
gpt_4_1_nano,gpt_4_1_nano.jsonl,11,0,11,0.19927272727272724,9.090909090909092,anytime_meals,none,
gpt_4_1_nano,gpt_4_1_nano.jsonl,5,0,5,0.0874,0.0,breakfast,none,
gpt_4_1_nano,gpt_4_1_nano.jsonl,5,0,5,0.027700000000000002,0.0,desserts,none,
gpt_4_1_nano,gpt_4_1_nano.jsonl,5,0,5,0.264,0.0,snacks,none,
gpt_4o,gpt_4o.jsonl,10,1,11,0.178925,30.0,anytime_meals,none,Simple Greek Salad
gpt_4o,gpt_4o.jsonl,5,0,5,0.14416,20.0,breakfast,none,
gpt_4o,gpt_4o.jsonl,5,0,5,0.01901,20.0,desserts,none,
gpt_4o,gpt_4o.jsonl,5,0,5,0.141,0.0,snacks,none,
gpt_4o_mini,gpt_4o_mini.jsonl,11,0,11,0.1559090909090909,0.0,anytime_meals,none,
gpt_4o_mini,gpt_4o_mini.jsonl,5,0,5,0.0969,0.0,breakfast,none,
gpt_4o_mini,gpt_4o_mini.jsonl,5,0,5,0.08669999999999999,20.0,desserts,none,
gpt_4o_mini,gpt_4o_mini.jsonl,5,0,5,0.14999999999999997,0.0,snacks,none,
gpt_5_4__reasoning_high,gpt_5_4__reasoning_high.jsonl,11,0,11,0.10090909090909089,9.090909090909092,anytime_meals,high,
gpt_5_4__reasoning_high,gpt_5_4__reasoning_high.jsonl,5,0,5,0.018600000000000002,40.0,breakfast,high,
gpt_5_4__reasoning_high,gpt_5_4__reasoning_high.jsonl,5,0,5,0.012,0.0,desserts,high,
gpt_5_4__reasoning_high,gpt_5_4__reasoning_high.jsonl,5,0,5,0.096,0.0,snacks,high,
gpt_5_4__reasoning_low,gpt_5_4__reasoning_low.jsonl,11,0,11,0.09636363636363637,18.181818181818183,anytime_meals,low,
gpt_5_4__reasoning_low,gpt_5_4__reasoning_low.jsonl,5,0,5,0.033999999999999996,0.0,breakfast,low,
gpt_5_4__reasoning_low,gpt_5_4__reasoning_low.jsonl,5,0,5,0.014000000000000002,0.0,desserts,low,
gpt_5_4__reasoning_low,gpt_5_4__reasoning_low.jsonl,5,0,5,0.07999999999999999,0.0,snacks,low,
gpt_5_4__reasoning_medium,gpt_5_4__reasoning_medium.jsonl,11,0,11,0.09454545454545454,0.0,anytime_meals,medium,
gpt_5_4__reasoning_medium,gpt_5_4__reasoning_medium.jsonl,4,1,5,0.03075,25.0,breakfast,medium,Scrambled Egg & Black Bean Burritos
gpt_5_4__reasoning_medium,gpt_5_4__reasoning_medium.jsonl,5,0,5,0.008,40.0,desserts,medium,
gpt_5_4__reasoning_medium,gpt_5_4__reasoning_medium.jsonl,5,0,5,0.076,0.0,snacks,medium,
gpt_5_4_mini__reasoning_high,gpt_5_4_mini__reasoning_high.jsonl,11,0,11,0.09254545454545454,9.090909090909092,anytime_meals,high,
gpt_5_4_mini__reasoning_high,gpt_5_4_mini__reasoning_high.jsonl,5,0,5,0.018,40.0,breakfast,high,
gpt_5_4_mini__reasoning_high,gpt_5_4_mini__reasoning_high.jsonl,5,0,5,0.01,0.0,desserts,high,
gpt_5_4_mini__reasoning_high,gpt_5_4_mini__reasoning_high.jsonl,5,0,5,0.08199999999999999,0.0,snacks,high,
gpt_5_4_mini__reasoning_low,gpt_5_4_mini__reasoning_low.jsonl,11,0,11,0.07545454545454545,0.0,anytime_meals,low,
gpt_5_4_mini__reasoning_low,gpt_5_4_mini__reasoning_low.jsonl,5,0,5,0.014000000000000007,40.0,breakfast,low,
gpt_5_4_mini__reasoning_low,gpt_5_4_mini__reasoning_low.jsonl,5,0,5,0.02,20.0,desserts,low,
gpt_5_4_mini__reasoning_low,gpt_5_4_mini__reasoning_low.jsonl,5,0,5,0.057999999999999996,20.0,snacks,low,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.09454545454545454,27.27272727272727,anytime_meals,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.012,40.0,breakfast,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.011800000000000001,20.0,desserts,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.05399999999999999,20.0,snacks,medium,
gpt_5_4_nano__reasoning_high,gpt_5_4_nano__reasoning_high.jsonl,11,0,11,0.27218181818181814,0.0,anytime_meals,high,
gpt_5_4_nano__reasoning_high,gpt_5_4_nano__reasoning_high.jsonl,5,0,5,0.0422,20.0,breakfast,high,
gpt_5_4_nano__reasoning_high,gpt_5_4_nano__reasoning_high.jsonl,5,0,5,0.0198,20.0,desserts,high,
gpt_5_4_nano__reasoning_high,gpt_5_4_nano__reasoning_high.jsonl,5,0,5,0.164,0.0,snacks,high,
gpt_5_4_nano__reasoning_low,gpt_5_4_nano__reasoning_low.jsonl,11,0,11,0.7668181818181818,9.090909090909092,anytime_meals,low,
gpt_5_4_nano__reasoning_low,gpt_5_4_nano__reasoning_low.jsonl,5,0,5,0.0792,0.0,breakfast,low,
gpt_5_4_nano__reasoning_low,gpt_5_4_nano__reasoning_low.jsonl,5,0,5,0.16920000000000002,20.0,desserts,low,
gpt_5_4_nano__reasoning_low,gpt_5_4_nano__reasoning_low.jsonl,5,0,5,0.10800000000000001,0.0,snacks,low,
gpt_5_4_nano__reasoning_medium,gpt_5_4_nano__reasoning_medium.jsonl,9,2,11,0.18555555555555556,11.11111111111111,anytime_meals,medium,Pork Tenderloin with Dijon Gravy; Harvest Crunch Kale & Chicken Salad
gpt_5_4_nano__reasoning_medium,gpt_5_4_nano__reasoning_medium.jsonl,2,3,5,0.10500000000000001,0.0,breakfast,medium,"Cranberry Carrot Muffins; Blueberry Banana Pancakes; Cheesy Egg, Bacon & Broccoli Muffins"
gpt_5_4_nano__reasoning_medium,gpt_5_4_nano__reasoning_medium.jsonl,5,0,5,0.0202,0.0,desserts,medium,
gpt_5_4_nano__reasoning_medium,gpt_5_4_nano__reasoning_medium.jsonl,5,0,5,0.13599999999999998,0.0,snacks,medium,
gpt_5_4_pro__reasoning_high,gpt_5_4_pro__reasoning_high.jsonl,11,0,11,0.09772727272727272,9.090909090909092,anytime_meals,high,
gpt_5_4_pro__reasoning_high,gpt_5_4_pro__reasoning_high.jsonl,5,0,5,0.014599999999999998,40.0,breakfast,high,
gpt_5_4_pro__reasoning_high,gpt_5_4_pro__reasoning_high.jsonl,5,0,5,0.006600000000000002,40.0,desserts,high,
gpt_5_4_pro__reasoning_high,gpt_5_4_pro__reasoning_high.jsonl,5,0,5,0.072,0.0,snacks,high,
gpt_5_5__reasoning_high,gpt_5_5__reasoning_high.jsonl,11,0,11,0.10818181818181817,18.181818181818183,anytime_meals,high,
gpt_5_5__reasoning_high,gpt_5_5__reasoning_high.jsonl,5,0,5,0.021399999999999995,40.0,breakfast,high,
