model_name,model_file,valid_predictions_count,invalid_predictions_count,total_recipes,MAE,accuracy_percent,recipe_type,reasoning_level,failed_recipes
gpt_5_4_mini__reasoning_low,gpt_5_4_mini__reasoning_low.jsonl,22,0,22,0.04818181818181819,13.636363636363635,all,low,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,22,0,22,0.05131818181818182,27.27272727272727,all,medium,
gpt_5_4_pro__reasoning_high,gpt_5_4_pro__reasoning_high.jsonl,22,0,22,0.058454545454545453,18.181818181818183,all,high,
gpt_5_4_mini__reasoning_high,gpt_5_4_mini__reasoning_high.jsonl,22,0,22,0.059000000000000004,9.090909090909092,all,high,
gpt_5_4__reasoning_low,gpt_5_4__reasoning_low.jsonl,22,0,22,0.06136363636363637,9.090909090909092,all,low,
gpt_5_5__reasoning_low,gpt_5_5__reasoning_low.jsonl,22,0,22,0.06286363636363636,9.090909090909092,all,low,
gpt_5_4__reasoning_medium,gpt_5_4__reasoning_medium.jsonl,22,0,22,0.06422727272727273,13.636363636363635,all,medium,
gpt_5_5__reasoning_high,gpt_5_5__reasoning_high.jsonl,22,0,22,0.06531818181818182,18.181818181818183,all,high,
gpt_5_4__reasoning_high,gpt_5_4__reasoning_high.jsonl,22,0,22,0.06604545454545455,9.090909090909092,all,high,
gpt_5_5__reasoning_medium,gpt_5_5__reasoning_medium.jsonl,22,0,22,0.07227272727272728,9.090909090909092,all,medium,
gpt_4_1,gpt_4_1.jsonl,22,0,22,0.09445454545454544,4.545454545454546,all,none,
gpt_5_4_nano__reasoning_medium,gpt_5_4_nano__reasoning_medium.jsonl,22,0,22,0.10645454545454545,9.090909090909092,all,medium,
gpt_4o,gpt_4o.jsonl,22,0,22,0.12224318181818182,22.727272727272727,all,none,
gpt_4o_mini,gpt_4o_mini.jsonl,22,0,22,0.1255909090909091,0.0,all,none,
gpt_4_1_mini,gpt_4_1_mini.jsonl,22,0,22,0.13568181818181818,4.545454545454546,all,none,
gpt_4_1_nano,gpt_4_1_nano.jsonl,22,0,22,0.1381590909090909,4.545454545454546,all,none,
gpt_5_4_nano__reasoning_high,gpt_5_4_nano__reasoning_high.jsonl,22,0,22,0.1685909090909091,9.090909090909092,all,high,
gpt_5_4_nano__reasoning_low,gpt_5_4_nano__reasoning_low.jsonl,22,0,22,0.4510454545454545,4.545454545454546,all,low,
