model_name,prompt_variant,assigned_cluster_id,failure_mode_label,recipe_count,mean_signed_error_mg_per_serving,median_signed_error_mg_per_serving,overestimate_count,underestimate_count,zero_error_count
gpt_5_4_mini__reasoning_medium,Baseline,-1,Systematic ingredient copper overestimation,8,0.18,0.125,8,0,0
gpt_5_4_mini__reasoning_medium,Baseline,0,Incorrect copper values for snack ingredients,5,0.10399999999999998,0.04999999999999999,4,1,0
gpt_5_4_mini__reasoning_medium,Baseline,2,Systematic copper overestimation via weight-based method,3,0.041666666666666664,0.035,3,0,0
gpt_5_4_mini__reasoning_medium,Baseline,mixed,Mixed Stage 1.5 failure modes,1,0.1,0.1,1,0,0
gpt_5_4_mini__reasoning_medium,Baseline,unclustered,No high-error Stage 1.5 cluster,9,0.04855555555555556,0.010000000000000009,6,3,0
few_shot__gpt_5_4_mini__reasoning_medium,Few-shot,-1,Systematic ingredient copper overestimation,8,0.1761150625,0.110575,8,0,0
few_shot__gpt_5_4_mini__reasoning_medium,Few-shot,0,Incorrect copper values for snack ingredients,5,0.13407699999999997,0.021279999999999993,3,2,0
few_shot__gpt_5_4_mini__reasoning_medium,Few-shot,2,Systematic copper overestimation via weight-based method,3,0.04140083333333334,0.0432,2,1,0
few_shot__gpt_5_4_mini__reasoning_medium,Few-shot,mixed,Mixed Stage 1.5 failure modes,1,0.08047999999999997,0.08047999999999997,1,0,0
few_shot__gpt_5_4_mini__reasoning_medium,Few-shot,unclustered,No high-error Stage 1.5 cluster,9,0.02753811111111111,0.010693000000000008,5,4,0
cot__gpt_5_4_mini__reasoning_medium,CoT,-1,Systematic ingredient copper overestimation,8,0.1915625,0.12300000000000001,8,0,0
cot__gpt_5_4_mini__reasoning_medium,CoT,0,Incorrect copper values for snack ingredients,5,0.079848,0.013999999999999985,3,2,0
cot__gpt_5_4_mini__reasoning_medium,CoT,2,Systematic copper overestimation via weight-based method,3,0.26666666666666666,0.07900000000000001,3,0,0
cot__gpt_5_4_mini__reasoning_medium,CoT,mixed,Mixed Stage 1.5 failure modes,1,0.10800000000000001,0.10800000000000001,1,0,0
cot__gpt_5_4_mini__reasoning_medium,CoT,unclustered,No high-error Stage 1.5 cluster,9,0.037537777777777774,0.0,4,4,1
persona__gpt_5_4_mini__reasoning_medium,Persona,-1,Systematic ingredient copper overestimation,8,0.15887500000000002,0.097,8,0,0
persona__gpt_5_4_mini__reasoning_medium,Persona,0,Incorrect copper values for snack ingredients,5,0.04459999999999999,-0.01200000000000001,2,3,0
persona__gpt_5_4_mini__reasoning_medium,Persona,2,Systematic copper overestimation via weight-based method,3,0.315,0.036000000000000004,3,0,0
persona__gpt_5_4_mini__reasoning_medium,Persona,mixed,Mixed Stage 1.5 failure modes,1,0.11000000000000001,0.11000000000000001,1,0,0
persona__gpt_5_4_mini__reasoning_medium,Persona,unclustered,No high-error Stage 1.5 cluster,9,0.015444444444444443,-0.006999999999999999,4,5,0
